item_label,item_label_v2,item_label_v3,S1,S2,S3,dv_pretest,scale,subscale,concept,top-layer,Notes
Media consumption intentions (3 items),,,NA,NA,MEDIA,NA,,,,,
Exploitation,Exploitation (5 items),,NA,EXP,EXP,NA,,,,,
Fear,,,NA,NA,FEAR,NA,,,,,
FEAR: anxiety (3 items),,,NA,Panx,NA,NA,,,,,
FEAR: fear (2 items),,,NA,Pfear,NA,NA,,,,,
News (8 items),,,NA,NA,NEWS,NA,,,,,
Immigration,Immigration (7 items),,NA,IMIG,IMIG,NA,,,,,
Poisonous ethnocentrism,Poisonous ethnocentrism (8 items),,NA,CET,CET,NA,,,,,
Pragmatism China,Pragmatism China (6 items),,NA,PRAGchi,PRAGchi,NA,,,,,
Pragmatism Russia,Pragmatism Russia (6 items),,NA,PRAGru,PRAGru,NA,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,8,,,,,,,,,,
,4,,,,,,,,,,
,6,,,,,,,,,,
,5,,,,,,,,,,
,11,,,,,,,,,,
,12,,,,,,,,,,
,6,,,,,,,,,,
,5,,,,,,,,,,
,7,,,,,,,,,,
,8,,,,,,,,,,
,6,,,,,,,,,,
,6,,,,,,,,,,
