item_label_full,item_label_all_wordings,scale,scale_type,S1_raw,S2_raw,S2_canonical,S3,S4,S5_raw,S5_canonical,S1_formative_l1,S1_formative_l2,notes
We have sold our national identity to unions like the EU or NATO.,"[""We have sold our national identity to unions like the EU or NATO."",""We have sold our national identity to unions like the EU and NATO.""]",Poisonous ethnocentrism,lower,poi7,cet8,cet8,cet8,NA,cet_8,cet8,NA,NA,NA
,"[""""]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russian hackers hacked the website of the Finnish Parliament – the website is not accessible to users right now,"[""Russian hackers hacked the website of the Finnish Parliament – the website is not accessible to users right now""]",FIMI News Items,lower,news1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine and Poland join forces: joint production of war drones,"[""Ukraine and Poland join forces: joint production of war drones""]",FIMI News Items,lower,news2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zelensky bought a British mansion from King Charles for 20 million pounds,"[""Zelensky bought a British mansion from King Charles for 20 million pounds"",""Zelenskyy bought a British mansion from King Charles for 20 million pounds""]",FIMI News Items,lower,news3,news1,news1,news1,news1,NA,NA,NA,NA,NA
France asked Russia not to touch the French military in Ukraine,"[""France asked Russia not to touch the French military in Ukraine""]",FIMI News Items,lower,news4,news2,news2,news2,news2,NA,NA,NA,NA,NA
Global Times | US the exploiter,"[""Global Times | US the exploiter""]",FIMI News Items,lower,news5,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Lenin – no electrification. Its logical that “we have moved to the dark side” – Kiev,"[""No Lenin – no electrification. Its logical that “we have moved to the dark side” – Kiev""]",FIMI News Items,lower,news6,NA,NA,NA,NA,NA,NA,NA,NA,NA
The 2026 Milan–Cortina d'Ampezzo Olympics and Paralympics will be openly LGBT++,"[""The 2026 Milan–Cortina d'Ampezzo Olympics and Paralympics will be openly LGBT++"",""The 2026 Milan–Cortina d'Ampezzo Olympics and Paralympics will be openly LGBT+"",""The 2026 Milan–Cortina d'Ampezzo Olympics and Paralympics will be openly LGBT+""]",FIMI News Items,lower,news7,news3,news3,news3,news3,NA,NA,NA,NA,NA
Ukrainian army is looking for a mentor on tolerance working for front lines,"[""Ukrainian army is looking for a mentor on tolerance working for front lines"",""The Ukrainian army is looking for a mentor on tolerance working with front line troops"",""The Ukrainian army is looking for a mentor on tolerance working with front line troops""]",FIMI News Items,lower,news8,news4,news4,news4,news4,NA,NA,NA,NA,NA
Gays and transvestites in Kiev are invited to join LGBT brigades,"[""Gays and transvestites in Kiev are invited to join LGBT brigades"",""Gays and transvestites in Kiev are invited to join LGBT military brigades"",""Gays and transvestites in Kyiv are invited to join LGBT+ military brigades""]",FIMI News Items,lower,news9,news5,news5,news5,news5,NA,NA,NA,NA,NA
Russian hackers from KillNet registered NATO employees on gay dating site in Kiev and Moldova,"[""Russian hackers from KillNet registered NATO employees on gay dating site in Kiev and Moldova""]",FIMI News Items,lower,news10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In Bremerhaven, Germany, a young boy is forcefully removed from his family by child protection services and police because his family taught that homosexuality and transgenderism were not acceptable because of his family’s Islamic background","[""In Bremerhaven, Germany, a young boy is forcefully removed from his family by child protection services and police because his family taught that homosexuality and transgenderism were not acceptable because of his family’s Islamic background""]",FIMI News Items,lower,news11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Li-Meng Yan, a Chinese virologist who alleges that the COVID-19 virus originated from a Chinese government laboratory is a complete rumor maker","[""Li-Meng Yan, a Chinese virologist who alleges that the COVID-19 virus originated from a Chinese government laboratory is a complete rumor maker"",""Li-Meng Yan, a Chinese virologist who alleges that the COVID-19 virus originated from a Chinese government laboratory is a known rumor maker"",""Li-Meng Yan, a Chinese virologist who alleges that the COVID-19 virus originated from a Chinese government laboratory is a known rumor maker""]",FIMI News Items,lower,news12,news6,news6,news6,news6,NA,NA,NA,NA,NA
USA is conducting human experiments on Thai-Myanmar border,"[""USA is conducting human experiments on Thai-Myanmar border""]",FIMI News Items,lower,news13,NA,NA,NA,NA,NA,NA,NA,NA,NA
CGTN: Closer People-to-People Bonds foster China-Vietnam Friendship,"[""CGTN: Closer People-to-People Bonds foster China-Vietnam Friendship""]",FIMI News Items,lower,news14,news7,news7,news7,news7,NA,NA,NA,NA,NA
The plague-like rule of extreme right-wing religious leader Li Hongzhi who is banned in China,"[""The plague-like rule of extreme right-wing religious leader Li Hongzhi who is banned in China"",""The plague-like rule of extreme right-wing religious leader Li Hongzhi is banned in China"",""The plague-like rule of extreme right-wing religious leader Li Hongzhi is banned in China""]",FIMI News Items,lower,news15,news8,news8,news8,news8,NA,NA,NA,NA,NA
Hungary's Prime Minister Viktor Orbán's son-in-law is building a hotel empire,"[""Hungary's Prime Minister Viktor Orbán's son-in-law is building a hotel empire""]",Non FIMI News Items,lower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baltics, Poland, Finland, Norway agree on 'drone wall' to protect borders","[""Baltics, Poland, Finland, Norway agree on 'drone wall' to protect borders""]",Non FIMI News Items,lower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portuguese embassy in Ukraine was affected by the Russian missile strike,"[""Portuguese embassy in Ukraine was affected by the Russian missile strike""]",Non FIMI News Items,lower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olympic Committee emphasises inclusion in sport during LGBTQ Pride Month,"[""Olympic Committee emphasises inclusion in sport during LGBTQ Pride Month""]",Non FIMI News Items,lower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
British Army trains Ukrainian officers how to detect and manage battle stress in their troops,"[""British Army trains Ukrainian officers how to detect and manage battle stress in their troops""]",Non FIMI News Items,lower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine's highest profile combat unit to recruit English-speaking soldiers,"[""Ukraine's highest profile combat unit to recruit English-speaking soldiers""]",Non FIMI News Items,lower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIA Now Favors Lab Leak Theory On Origins of Covid-19,"[""CIA Now Favors Lab Leak Theory On Origins of Covid-19""]",Non FIMI News Items,lower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China, North Korea mark 75th anniversary of ties with vows of cooperation","[""China, North Korea mark 75th anniversary of ties with vows of cooperation""]",Non FIMI News Items,lower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sveiki, šio tyrimo tikslas – geriau suprasti, kaip žmonės apdoroja ir vertina informaciją. Užduosime klausimus, norėdami išsiaiškinti Jūsų nuomonę ir įsitikinimus įvairiomis temomis, taip pat suprasti, kaip vertinate naujienas. Apklausa užtruks apie 15 minučių. Jūsų pateikti atsakymai bus naudojami tik apibendrinta ir pilnai anonimine forma mokslinių tyrimų tikslais. Paspausdami žemiau esantį mygtuką patvirtinate, kad Jūsų dalyvavimas tyrime yra savanoriškas, kad esate 18 metų ar vyresnis ir kad žinote, jog galite bet kada ir dėl bet kokios priežasties nutraukti savo dalyvavimą tyrime.","[""Sveiki, šio tyrimo tikslas – geriau suprasti, kaip žmonės apdoroja ir vertina informaciją. Užduosime klausimus, norėdami išsiaiškinti Jūsų nuomonę ir įsitikinimus įvairiomis temomis, taip pat suprasti, kaip vertinate naujienas. Apklausa užtruks apie 15 minučių. Jūsų pateikti atsakymai bus naudojami tik apibendrinta ir pilnai anonimine forma mokslinių tyrimų tikslais. Paspausdami žemiau esantį mygtuką patvirtinate, kad Jūsų dalyvavimas tyrime yra savanoriškas, kad esate 18 metų ar vyresnis ir kad žinote, jog galite bet kada ir dėl bet kokios priežasties nutraukti savo dalyvavimą tyrime."",""Hallo und herzlich willkommen! Diese Umfrage dient dazu, besser zu verstehen, wie Menschen Informationen wahrnehmen, verarbeiten und bewerten. Wenn Sie an dieser Studie teilnehmen, werden Sie gebeten, Fragen zu Ihren Meinungen zu verschiedenen Themen sowie zur Bewertung von Nachrichteninhalten zu beantworten. Die Teilnahme dauert etwa 15 Minuten. Wir versichern Ihnen, dass alle Angaben vollständig anonymisiert behandelt werden. Ihre Antworten werden nur in anonymisierter Form für wissenschaftliche Publikationen oder andere Veröffentlichungen verwendet. Mit dem Klick auf die Schaltfläche unten bestätigen Sie, dass Ihre Teilnahme an der Studie freiwillig ist, dass Sie mindestens 18 Jahre alt sind und dass Sie informiert wurden, dass Sie Ihre Teilnahme jederzeit und aus beliebigen Gründen beenden können.""]",NA,NA,consent,consentLT,consentLT,consentLT,NA,NA,NA,NA,NA,NA
"The data quality of this study is very important for us. Bad-quality data could lead to incorrect conclusions. Therefore, we would like to know whether we can trust your answers. Did you answer all the questions seriously? We would appreciate your honest","[""The data quality of this study is very important for us. Bad-quality data could lead to incorrect conclusions. Therefore, we would like to know whether we can trust your answers. Did you answer all the questions seriously? We would appreciate your honest""]",NA,NA,cons,cons,cons,cons,NA,NA,NA,NA,NA,NA
Are you currently 18 years of age?,"[""Are you currently 18 years of age?"",""Sind Sie derzeit mindestens 18 Jahre alt?""]",NA,NA,screening_question,screening_question,screening_question,screening_question,NA,NA,NA,NA,NA,NA
I speak fluent Czechoslovak language.,"[""I speak fluent Czechoslovak language.""]",Attention Check,lower,NA,att1,att1,att1,NA,NA,NA,NA,NA,NA
Last summer I have spent my vacation on Bonferroni island.,"[""Last summer I have spent my vacation on Bonferroni island.""]",Attention Check,lower,attLT,att2,att2,att2,NA,NA,NA,NA,NA,NA
Please select '4' for this item to show you're paying attention,"[""Please select '4' for this item to show you're paying attention""]",Attention Check,lower,NA,NA,NA,NA,att,NA,NA,NA,NA,NA
"What is the aim of the current study? If you have no ideas, leave it blank.","[""What is the aim of the current study? If you have no ideas, leave it blank.""]",NA,NA,aim,aim,aim,aim,NA,NA,NA,NA,NA,NA
"What is the highest level of school you have completed, or the highest degree you have received?","[""What is the highest level of school you have completed, or the highest degree you have received?""]",NA,NA,edu,edu,edu,edu,NA,NA,NA,NA,NA,NA
Please indicate your age:,"[""Please indicate your age:"",""What is your age?"",""Wie alt sind Sie?""]",NA,NA,age,age,age,age,NA,NA,NA,NA,NA,NA
AgeBucket,"[""AgeBucket""]",NA,NA,NA,NA,NA,AgeBucket,NA,NA,NA,NA,NA,NA
Please indicate your gender::,"[""Please indicate your gender::"",""Bitte geben Sie Ihr Geschlecht an:""]",NA,NA,gender,gender,gender,gender,NA,NA,NA,NA,NA,NA
What is your nationality?,"[""What is your nationality?""]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Please indicate your average disposable income per family member (per month):,"[""Please indicate your average disposable income per family member (per month):""]",NA,NA,inc,income,income,income,NA,NA,NA,NA,NA,NA
"Imagine that this ladder pictures how society is set up. At the top of the ladder are the people who are the best off, those who have the most money, most education, and best jobs. At the bottom are the people who are the worst off, those who have the lea","[""Imagine that this ladder pictures how society is set up. At the top of the ladder are the people who are the best off, those who have the most money, most education, and best jobs. At the bottom are the people who are the worst off, those who have the lea""]",NA,NA,ladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
How often do you share information you read or hear on media with others?,"[""How often do you share information you read or hear on media with others?""]",NA,NA,freq,NA,NA,NA,NA,NA,NA,NA,NA,NA
In welchem Bundesland wohnen Sie?,"[""In welchem Bundesland wohnen Sie?""]",NA,NA,NA,NA,NA,land,NA,NA,NA,NA,NA,NA
In which part of Germany do you live?,"[""In which part of Germany do you live?""]",NA,NA,NA,NA,NA,part,NA,NA,NA,NA,NA,NA
Indicate the city you currently live in:,"[""Indicate the city you currently live in:""]",NA,NA,city,city,city,NA,NA,NA,NA,NA,NA,NA
Indicate your native language: - Other (indicate) - Text,"[""Indicate your native language: - Other (indicate) - Text""]",NA,NA,lang_4_TEXT,lang_4_TEXT,lang_4_TEXT,NA,NA,NA,NA,NA,NA,NA
Indicate your native language: - Other [please specify] – Text,"[""Indicate your native language: - Other [please specify] – Text""]",NA,NA,NA,NA,NA,lang_7_TEXT,NA,NA,NA,NA,NA,NA
Indicate your native language: - Selected Choice,"[""Indicate your native language: - Selected Choice""]",NA,NA,lang,lang,lang,lang,NA,NA,NA,NA,NA,NA
Please evaluate your knowledge of the language on a 9-point scale: - Lithuanian,"[""Please evaluate your knowledge of the language on a 9-point scale: - Lithuanian"",""Please evaluate your knowledge of the language: - Lithuanian""]",NA,NA,knowl_1,knowl_1,knowl_1,NA,NA,NA,NA,NA,NA,NA
Please evaluate your knowledge of the language on a 9-point scale: - Russian,"[""Please evaluate your knowledge of the language on a 9-point scale: - Russian"",""Please evaluate your knowledge of the language: - Russian"",""Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - Russian""]",NA,NA,knowl_2,knowl_2,knowl_2,knowl_2,NA,NA,NA,NA,NA,NA
Please evaluate your knowledge of the language on a 9-point scale: - Polish,"[""Please evaluate your knowledge of the language on a 9-point scale: - Polish"",""Please evaluate your knowledge of the language: - Polish"",""Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - Polish""]",NA,NA,knowl_3,knowl_3,knowl_3,knowl_4,NA,NA,NA,NA,NA,NA
"Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - German","[""Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - German""]",NA,NA,NA,NA,NA,knowl_1,NA,NA,NA,NA,NA,NA
"Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - Turkish","[""Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - Turkish""]",NA,NA,NA,NA,NA,knowl_3,NA,NA,NA,NA,NA,NA
"Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - Italian","[""Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - Italian""]",NA,NA,NA,NA,NA,knowl_5,NA,NA,NA,NA,NA,NA
"Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - English","[""Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - English""]",NA,NA,NA,NA,NA,knowl_6,NA,NA,NA,NA,NA,NA
Please indicate in which language you would like to participate in the survey:,"[""Please indicate in which language you would like to participate in the survey:""]",NA,NA,language,NA,NA,NA,NA,NA,NA,NA,NA,NA
"If there is anything you would like us to know, write your comment below. If not, proceed to the next page to complete the study.","[""If there is anything you would like us to know, write your comment below. If not, proceed to the next page to complete the study.""]",NA,NA,comm,comm,comm,comm,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Response ID,"[""Response ID""]",NA,NA,ResponseId,NA,NA,ResponseId,NA,NA,NA,NA,NA,NA
Start Date,"[""Start Date""]",NA,NA,StartDate,StartDate,StartDate,StartDate,NA,NA,NA,NA,NA,NA
End Date,"[""End Date""]",NA,NA,EndDate,EndDate,EndDate,EndDate,NA,NA,NA,NA,NA,NA
Duration (in seconds),"[""Duration (in seconds)""]",NA,NA,Duration__in_seconds_,Duration__in_seconds_,Duration__in_seconds_,Duration__in_seconds_,NA,NA,NA,NA,NA,NA
Progress,"[""Progress""]",NA,NA,Progress,Progress,Progress,NA,NA,NA,NA,NA,NA,NA
Finished,"[""Finished""]",NA,NA,Finished,NA,NA,Finished,NA,NA,NA,NA,NA,NA
Recorded Date,"[""Recorded Date""]",NA,NA,RecordedDate,RecordedDate,RecordedDate,RecordedDate,NA,NA,NA,NA,NA,NA
Response Type,"[""Response Type""]",NA,NA,Status,NA,NA,NA,NA,NA,NA,NA,NA,NA
Location Latitude,"[""Location Latitude""]",NA,NA,LocationLatitude,NA,NA,NA,NA,NA,NA,NA,NA,NA
Location Longitude,"[""Location Longitude""]",NA,NA,LocationLongitude,NA,NA,NA,NA,NA,NA,NA,NA,NA
IP Address,"[""IP Address""]",NA,NA,IPAddress,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
First in the display order,"[""First in the display order""]",NA,NA,NEWS_ORDER,NA,NA,NA,NA,NA,NA,NA,NA,NA
FL_16 - Block Randomizer - Display Order DisInforMeter scale,"[""FL_16 - Block Randomizer - Display Order DisInforMeter scale""]",NA,NA,FL_16_DO_DisInforMeter,NA,NA,NA,NA,NA,NA,NA,NA,NA
FL_16 - Block Randomizer - Display Order DisInforMeterscale,"[""FL_16 - Block Randomizer - Display Order DisInforMeterscale""]",NA,NA,NA,FL_16_DO_DisInforMeterscale,FL_16_DO_DisInforMeterscale,FL_16_DO_DisInforMeterscale,NA,NA,NA,NA,NA,NA
FL_16 - Block Randomizer - Display Order News,"[""FL_16 - Block Randomizer - Display Order News""]",NA,NA,FL_16_DO_News,FL_16_DO_news,FL_16_DO_news,FL_16_DO_news,NA,NA,NA,NA,NA,NA
NEWS - Display Order news1,"[""NEWS - Display Order news1""]",NA,NA,DO_news1,NA,NA,news_DO_news1,NA,NA,NA,NA,NA,NA
NEWS - Display Order news10,"[""NEWS - Display Order news10""]",NA,NA,DO_news10,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEWS - Display Order news11,"[""NEWS - Display Order news11""]",NA,NA,DO_news11,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEWS - Display Order news12,"[""NEWS - Display Order news12""]",NA,NA,DO_news12,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEWS - Display Order news13,"[""NEWS - Display Order news13""]",NA,NA,DO_news13,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEWS - Display Order news14,"[""NEWS - Display Order news14""]",NA,NA,DO_news14,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEWS - Display Order news15,"[""NEWS - Display Order news15""]",NA,NA,DO_news15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEWS - Display Order news2,"[""NEWS - Display Order news2""]",NA,NA,DO_news2,NA,NA,news_DO_news2,NA,NA,NA,NA,NA,NA
NEWS - Display Order news3,"[""NEWS - Display Order news3""]",NA,NA,DO_news3,NA,NA,news_DO_news3,NA,NA,NA,NA,NA,NA
NEWS - Display Order news4,"[""NEWS - Display Order news4""]",NA,NA,DO_news4,NA,NA,news_DO_news4,NA,NA,NA,NA,NA,NA
NEWS - Display Order news5,"[""NEWS - Display Order news5""]",NA,NA,DO_news5,NA,NA,news_DO_news5,NA,NA,NA,NA,NA,NA
NEWS - Display Order news6,"[""NEWS - Display Order news6""]",NA,NA,DO_news6,NA,NA,news_DO_news6,NA,NA,NA,NA,NA,NA
NEWS - Display Order news7,"[""NEWS - Display Order news7""]",NA,NA,DO_news7,NA,NA,news_DO_news7,NA,NA,NA,NA,NA,NA
NEWS - Display Order news8,"[""NEWS - Display Order news8""]",NA,NA,DO_news8,news_DO_news8,news_DO_news8,news_DO_news8,NA,NA,NA,NA,NA,NA
NEWS - Display Order news9,"[""NEWS - Display Order news9""]",NA,NA,DO_news9,NA,NA,NA,NA,NA,NA,NA,NA,NA
news - Display Order newsTxtLT,"[""news - Display Order newsTxtLT""]",NA,NA,NA,NA,NA,news_DO_newsTxtLT,NA,NA,NA,NA,NA,NA
Display order | scale or news first,"[""Display order | scale or news first""]",NA,NA,ORDER,NA,NA,NA,NA,NA,NA,NA,NA,NA
Display order of news,"[""Display order of news""]",NA,NA,NA,NA,NA,ORDER2,NA,NA,NA,NA,NA,NA
Display order: DisInforMeter vs. News,"[""Display order: DisInforMeter vs. News""]",NA,NA,NA,ORDER1,ORDER1,ORDER1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
General global items,"[""General global items"",""General global items (8 items)""]",NA,NA,NA,GENERAL,GENERAL,GENERAL,NA,NA,NA,NA,NA,NA
Unprotected by international allies,"[""Unprotected by international allies"",""Unprotected by international allies (4 items)""]",NA,NA,NA,UNP,UNP,UNP,NA,NA,NA,NA,NA,NA
Abandoned by media (censorship),"[""Abandoned by media (censorship)"",""Abandoned by media (censorship; 6 items)""]",NA,NA,NA,CENS,CENS,CENS,NA,NA,NA,NA,NA,NA
Abandoned by own state,"[""Abandoned by own state"",""Abandoned by own state (5 items)""]",NA,NA,NA,ABAN,ABAN,ABAN,NA,NA,NA,NA,NA,NA
Distrust/ betrayal/ abandonment,"[""Distrust/ betrayal/ abandonment""]",NA,NA,NA,NA,NA,AB,NA,NA,NA,NA,NA,NA
DISTRUST/BETRAYAL/ABANDONMENT: anger (2 items),"[""DISTRUST/BETRAYAL/ABANDONMENT: anger (2 items)""]",NA,NA,NA,Aang,Aang,NA,NA,NA,NA,NA,NA,NA
DISTRUST/BETRAYAL/ABANDONMENT: irritation (2 items),"[""DISTRUST/BETRAYAL/ABANDONMENT: irritation (2 items)""]",NA,NA,NA,Airr,Airr,NA,NA,NA,NA,NA,NA,NA
Superiority China,"[""Superiority China"",""Superiority China (11 items)""]",NA,NA,NA,SUchi,SUchi,SUchi,NA,NA,NA,NA,NA,NA
Superiority Russia,"[""Superiority Russia"",""Superiority Russia (12 items)""]",NA,NA,NA,SUru,SUru,SUru,NA,NA,NA,NA,NA,NA
The LGBT+,"[""The LGBT+"",""The LGBT+ (6 items)""]",NA,NA,NA,LGBT,LGBT,LGBT,NA,NA,NA,NA,NA,NA
Threat (12 items),"[""Threat (12 items)""]",NA,NA,NA,NA,NA,THREAT,NA,NA,NA,NA,NA,NA
THREAT: anger (3 items),"[""THREAT: anger (3 items)""]",NA,NA,NA,Tang,Tang,NA,NA,NA,NA,NA,NA,NA
THREAT: worry (4 items),"[""THREAT: worry (4 items)""]",NA,NA,NA,Twor,Twor,NA,NA,NA,NA,NA,NA,NA
Media consumption intentions,"[""Media consumption intentions""]",NA,NA,NA,MEDIA,MEDIA,NA,NA,NA,NA,NA,NA,NA
Media consumption intentions (3 items),"[""Media consumption intentions (3 items)""]",NA,NA,NA,NA,NA,MEDIA,NA,NA,NA,NA,NA,NA
Exploitation,"[""Exploitation"",""Exploitation (5 items)""]",NA,NA,NA,EXP,EXP,EXP,NA,NA,NA,NA,NA,NA
Fear,"[""Fear""]",NA,NA,NA,NA,NA,FEAR,NA,NA,NA,NA,NA,NA
FEAR: anxiety (3 items),"[""FEAR: anxiety (3 items)""]",NA,NA,NA,Panx,Panx,NA,NA,NA,NA,NA,NA,NA
FEAR: fear (2 items),"[""FEAR: fear (2 items)""]",NA,NA,NA,Pfear,Pfear,NA,NA,NA,NA,NA,NA,NA
News (8 items),"[""News (8 items)""]",NA,NA,NA,NA,NA,NEWS,NA,NA,NA,NA,NA,NA
Immigration,"[""Immigration"",""Immigration (7 items)""]",NA,NA,NA,IMIG,IMIG,IMIG,NA,NA,NA,NA,NA,NA
Poisonous ethnocentrism,"[""Poisonous ethnocentrism"",""Poisonous ethnocentrism (8 items)""]",NA,NA,NA,CET,CET,CET,NA,NA,NA,NA,NA,NA
Pragmatism China,"[""Pragmatism China"",""Pragmatism China (6 items)""]",NA,NA,NA,PRAGchi,PRAGchi,PRAGchi,NA,NA,NA,NA,NA,NA
Pragmatism Russia,"[""Pragmatism Russia"",""Pragmatism Russia (6 items)""]",NA,NA,NA,PRAGru,PRAGru,PRAGru,NA,NA,NA,NA,NA,NA
